Año,Mes,Nivel,Variacion_Mensual,Variacion_Interanual,Variacion_Acumulada
2000,Enero,27.51,1.78,10.09,1.78
2000,Febrero,27.91,1.45,10.88,3.25
2000,Marzo,28.10,0.68,12.05,3.95
2000,Abril,28.00,-0.35,11.52,3.59
2000,Mayo,27.98,-0.08,10.54,3.51
2000,Junio,28.36,1.35,10.50,4.91
2000,Julio,28.73,1.32,11.67,6.29
2000,Agosto,28.92,0.66,11.75,6.99
2000,Septiembre,29.03,0.38,11.44,7.40
2000,Octubre,29.21,0.63,10.52,8.08
2000,Noviembre,29.46,0.83,10.40,8.97
2000,Diciembre,29.80,1.17,10.25,10.25
2001,Enero,30.21,1.39,9.83,1.39
2001,Febrero,30.56,1.15,9.50,2.56
2001,Marzo,31.09,1.71,10.63,4.31
2001,Abril,31.48,1.25,12.41,5.62
2001,Mayo,31.69,0.68,13.27,6.34
2001,Junio,31.78,0.28,12.07,6.64
2001,Julio,31.97,0.61,11.28,7.29
2001,Agosto,32.23,0.80,11.43,8.14
2001,Septiembre,32.42,0.61,11.68,8.80
2001,Octubre,32.42,-0.01,10.97,8.79
2001,Noviembre,32.71,0.89,11.04,9.76
2001,Diciembre,33.07,1.09,10.96,10.96
2002,Enero,33.44,1.12,10.66,1.12
2002,Febrero,33.59,0.45,9.89,1.57
2002,Marzo,33.85,0.78,8.89,2.37
2002,Abril,33.91,0.17,7.72,2.54
2002,Mayo,34.12,0.63,7.66,3.19
2002,Junio,34.34,0.64,8.05,3.84
2002,Julio,34.84,1.47,8.97,5.37
2002,Agosto,35.25,1.19,9.39,6.62
2002,Septiembre,35.39,0.40,9.16,7.04
2002,Octubre,35.63,0.66,9.89,7.74
2002,Noviembre,35.99,1.03,10.05,8.86
2002,Diciembre,36.27,0.76,9.68,9.68
2003,Enero,36.50,0.65,9.17,0.65
2003,Febrero,36.80,0.81,9.57,1.47
2003,Marzo,37.04,0.65,9.42,2.12
2003,Abril,37.39,0.96,10.28,3.11
2003,Mayo,37.59,0.52,10.17,3.65
2003,Junio,37.84,0.67,10.21,4.34
2003,Julio,38.15,0.80,9.49,5.18
2003,Agosto,38.30,0.41,8.65,5.62
2003,Septiembre,38.35,0.13,8.36,5.75
2003,Octubre,38.80,1.17,8.91,6.99
2003,Noviembre,39.35,1.42,9.33,8.51
2003,Diciembre,39.85,1.25,9.87,9.87
2004,Enero,40.52,1.70,11.02,1.70
2004,Febrero,41.05,1.29,11.55,3.02
2004,Marzo,41.24,0.46,11.34,3.49
2004,Abril,41.61,0.91,11.29,4.44
2004,Mayo,41.89,0.67,11.45,5.14
2004,Junio,42.34,1.07,11.89,6.26
2004,Julio,42.89,1.30,12.44,7.64
2004,Agosto,43.30,0.97,13.05,8.68
2004,Septiembre,43.64,0.78,13.78,9.52
2004,Octubre,43.97,0.75,13.31,10.34
2004,Noviembre,44.58,1.40,13.29,11.89
